1.4757920e-01	1.8478900e+02	3.3110910e-04	1.1105680e-02	2.7840610e-03	3.3565650e-03
2.2305920e-01	1.8082370e+02	1.7800110e-04	4.6355700e-03	2.2845410e-03	2.1296660e-03
4.6282260e-01	2.5764720e+02	3.1830250e-04	4.1454380e-03	1.1813020e-02	7.5474500e-03
5.8971150e-01	2.4765850e+02	1.9612910e-04	2.7168100e-03	8.0992170e-03	3.3857520e-03
6.7609690e-01	2.2279360e+02	4.9245260e-04	3.4173240e-03	8.7081080e-03	2.9182500e-03
7.0152260e-01	1.2884130e+02	1.3456390e-03	3.3922460e-03	4.4906060e-03	1.8657810e-03
9.4648220e-01	1.3689440e+02	1.1970980e-03	2.6796140e-03	2.7180430e-03	1.8619290e-03
1.0430000e+00	1.1661610e+02	1.8429870e-03	1.6151420e-03	7.7971800e-03	1.2806360e-03
1.1265920e+00	1.0956210e+02	3.4808160e-03	2.5234310e-03	1.2441550e-02	1.2474730e-03
7.8822670e-01	9.1336860e+01	1.1058440e-03	1.4235020e-03	9.2341930e-03	1.2694900e-03
6.8333380e-01	7.7619150e+01	1.7729350e-03	2.0249700e-03	9.7568440e-03	1.2918380e-03
5.8041420e-01	8.5823390e+01	2.6786060e-04	2.7409530e-03	5.4024420e-03	1.7023930e-03
4.1813440e-01	7.8456410e+01	6.1432820e-04	5.7096280e-03	6.5584820e-03	1.8073840e-03
2.5908530e-01	1.1269560e+02	4.0311030e-04	1.1198830e-02	6.4853450e-03	2.6762100e-03
2.4978260e-01	1.7462000e+02	1.7911050e-04	7.6508550e-03	6.1657460e-03	2.3829490e-03
2.0433530e-01	1.7344090e+02	9.8385380e-04	1.1027370e-02	3.0981170e-03	1.6731180e-03
1.9432140e-01	2.7310990e+02	7.2024880e-04	1.2151950e-02	5.6706230e-03	1.5222700e-03
1.0948770e-01	2.2451130e+02	3.9403230e-04	1.5676700e-02	5.8146980e-03	1.6218150e-03
6.5344770e-02	2.0262860e+02	2.0968850e-04	2.7491460e-02	4.2768840e-03	3.0468990e-03
1.7271730e-01	1.8454060e+02	1.3195400e-04	1.2039780e-02	6.2589290e-03	1.4211160e-03
